bowler,deliveries,wickets,wicket_rate
Najibullah Williamson,192,21,0.109375
Umesh Shami,173,18,0.10404624277456648
Umesh Saha,208,21,0.10096153846153846
Alzarri Pope,202,20,0.09900990099009901
Tim Samson,192,18,0.09375
Ajinkya Brewis,160,15,0.09375
Chris Wood,236,22,0.09322033898305085
Rohit Livingstone,259,24,0.09266409266409266
Moeen Taylor,217,20,0.09216589861751152
Yuzvendra Kumar,233,21,0.09012875536480687
Babar Stokes,211,19,0.09004739336492891
Daniel de Bruyn,182,16,0.08791208791208792
Quinton Coetzee,194,17,0.08762886597938144
Naveen Stubbs,309,27,0.08737864077669903
Aiden Pant,208,18,0.08653846153846154
