batting_team,over_phase,deliveries,total_runs,wickets,run_rate,wicket_rate
Chennai Super Kings,Death,236,586,13,14.9,5.51
Chennai Super Kings,Middle,6268,14811,307,14.18,4.9
Chennai Super Kings,Powerplay,8200,18863,463,13.8,5.65
Deccan Chargers,Death,64,157,2,14.72,3.12
Deccan Chargers,Middle,1402,3184,78,13.63,5.56
Deccan Chargers,Powerplay,2250,5244,116,13.98,5.16
Delhi Capitals,Death,120,290,7,14.5,5.83
Delhi Capitals,Middle,2441,5704,124,14.02,5.08
Delhi Capitals,Powerplay,3268,7517,185,13.8,5.66
Delhi Daredevils,Death,120,285,11,14.25,9.17
Delhi Daredevils,Middle,3943,9331,193,14.2,4.89
Delhi Daredevils,Powerplay,5415,12467,309,13.81,5.71
Gujarat Lions,Death,23,50,1,13.04,4.35
Gujarat Lions,Middle,821,1816,43,13.27,5.24
Gujarat Lions,Powerplay,1199,2769,61,13.86,5.09
Gujarat Titans,Death,39,77,4,11.85,10.26
Gujarat Titans,Middle,1024,2435,59,14.27,5.76
Gujarat Titans,Powerplay,1535,3481,99,13.61,6.45
Kings XI Punjab,Death,222,473,12,12.78,5.41
Kings XI Punjab,Middle,4444,10562,244,14.26,5.49
Kings XI Punjab,Powerplay,6304,14776,345,14.06,5.47
Kochi Tuskers Kerala,Death,28,62,2,13.29,7.14
Kochi Tuskers Kerala,Middle,291,666,16,13.73,5.5
Kochi Tuskers Kerala,Powerplay,480,1056,30,13.2,6.25
Kolkata Knight Riders,Death,200,437,14,13.11,7.0
Kolkata Knight Riders,Middle,6018,14124,354,14.08,5.88
Kolkata Knight Riders,Powerplay,8217,19281,454,14.08,5.53
Lucknow Super Giants,Death,10,16,4,9.6,40.0
Lucknow Super Giants,Middle,1483,3504,74,14.18,4.99
Lucknow Super Giants,Powerplay,1870,4417,87,14.17,4.65
Mumbai Indians,Death,349,849,20,14.6,5.73
Mumbai Indians,Middle,6275,14782,364,14.13,5.8
Mumbai Indians,Powerplay,9055,21482,498,14.23,5.5
Pune Warriors India,Death,35,77,4,13.2,11.43
Pune Warriors India,Middle,1387,3236,63,14.0,4.54
Pune Warriors India,Powerplay,1624,3773,91,13.94,5.6
Punjab Kings,Death,62,159,2,15.39,3.23
Punjab Kings,Middle,2128,5042,113,14.22,5.31
Punjab Kings,Powerplay,2940,6928,137,14.14,4.66
Rajasthan Royals,Death,152,333,3,13.14,1.97
Rajasthan Royals,Middle,5560,13183,288,14.23,5.18
Rajasthan Royals,Powerplay,7380,17018,432,13.84,5.85
Rising Pune Supergiant,Death,53,135,3,15.28,5.66
Rising Pune Supergiant,Middle,1023,2439,53,14.3,5.18
Rising Pune Supergiant,Powerplay,1157,2675,46,13.87,3.98
Royal Challengers Bangalore,Death,241,542,19,13.49,7.88
Royal Challengers Bangalore,Middle,7013,16357,434,13.99,6.19
Royal Challengers Bangalore,Powerplay,9485,22017,504,13.93,5.31
Sunrisers Hyderabad,Death,233,544,16,14.01,6.87
Sunrisers Hyderabad,Middle,4225,9788,215,13.9,5.09
Sunrisers Hyderabad,Powerplay,5878,13574,358,13.86,6.09
